
JTOUSDT,48,short,3.55,3.606,-18.24,76.0
RLCUSDT,67,short,3.13,3.181,8.36,83.6
RLCUSDT,85,short,3.1,3.152,-15.25,63.54
JTOUSDT,105,short,3.62,3.677,6.99,69.89
POWRUSDT,110,short,0.3,0.308,7.69,76.88
RLCUSDT,130,short,3.01,3.062,8.46,84.57
POWRUSDT,152,short,0.31,0.316,9.3,93.03
RLCUSDT,163,short,2.98,3.027,10.23,102.33
JTOUSDT,171,short,3.54,3.597,11.26,112.56
POWRUSDT,194,short,0.32,0.32,-20.53,85.55
YGGUSDT,237,short,0.88,0.89,-15.6,65.02
SOLUSDT,242,short,153.13,155.753,-11.86,49.42
JTOUSDT,254,short,3.65,3.716,-9.01,37.56
