
RLCUSDT,28,short,2.97,3.019,-19.24,74.0
YGGUSDT,34,long,0.88,0.869,3.08,76.96
JTOUSDT,47,short,3.56,3.615,3.2,80.04
POWRUSDT,53,long,0.32,0.31,-15.4,59.23
SOLUSDT,82,short,152.91,155.219,2.46,61.6
JTOUSDT,104,short,3.61,3.661,2.56,64.06
POWRUSDT,110,short,0.3,0.308,2.66,66.62
RLCUSDT,130,short,3.02,3.065,2.77,69.28
POWRUSDT,152,short,0.31,0.316,2.88,72.05
POWRUSDT,157,long,0.31,0.309,3.0,74.93
RLCUSDT,163,short,2.98,3.03,3.12,77.93
YGGUSDT,165,short,0.89,0.901,3.24,81.05
JTOUSDT,171,short,3.55,3.601,3.37,84.29
POWRUSDT,193,short,0.32,0.321,-16.22,62.37
JTOUSDT,205,long,3.67,3.619,2.59,64.86
YGGUSDT,236,short,0.88,0.896,2.7,67.45
SOLUSDT,242,short,153.59,155.908,2.81,70.15
JTOUSDT,254,short,3.66,3.72,-13.5,51.91
POWRUSDT,264,short,0.33,0.331,-9.99,38.41
