
JTOUSDT,47,short,3.56,3.618,2.04,102.0
SOLUSDT,55,long,156.39,154.05,2.08,104.04
YGGUSDT,81,short,0.89,0.908,2.12,106.12
JTOUSDT,104,short,3.61,3.664,2.16,108.24
POWRUSDT,110,short,0.3,0.308,2.21,110.4
POWRUSDT,131,short,0.3,0.31,-22.26,79.49
POWRUSDT,152,short,0.31,0.316,1.62,81.08
RLCUSDT,163,short,2.99,3.033,1.65,82.7
JTOUSDT,171,short,3.55,3.604,1.69,84.35
POWRUSDT,193,short,0.32,0.321,-17.0,60.73
YGGUSDT,236,short,0.88,0.897,1.24,61.94
POWRUSDT,241,short,0.32,0.327,-12.49,44.6
JTOUSDT,254,short,3.67,3.724,-8.99,32.11
