
JTOUSDT,47,short,3.56,3.608,6.36,106.0
YGGUSDT,53,long,0.9,0.889,6.74,112.36
RLCUSDT,67,short,3.13,3.178,7.15,119.1
RLCUSDT,85,short,3.1,3.148,-20.44,92.9
JTOUSDT,105,short,3.62,3.674,5.91,98.47
YGGUSDT,110,short,0.88,0.894,-16.9,76.81
POWRUSDT,131,short,0.3,0.309,-13.18,59.91
YGGUSDT,141,short,0.9,0.911,3.81,63.5
POWRUSDT,152,short,0.31,0.315,4.04,67.31
RLCUSDT,163,short,2.98,3.024,4.28,71.35
YGGUSDT,165,short,0.89,0.899,-12.24,55.65
JTOUSDT,171,short,3.54,3.594,3.54,58.99
POWRUSDT,193,short,0.32,0.32,-10.12,46.01
YGGUSDT,240,short,0.89,0.902,2.93,48.77
JTOUSDT,254,short,3.66,3.713,-8.37,38.04
