
JTOUSDT,26,short,3.53,3.6,6.36,106.0
RLCUSDT,36,long,3.1,3.038,6.74,112.36
SOLUSDT,43,short,148.78,151.777,-25.21,74.16
JTOUSDT,47,short,3.56,3.629,4.72,78.61
SOLUSDT,51,long,155.29,152.202,5.0,83.33
YGGUSDT,56,short,0.9,0.921,-18.7,55.0
JTOUSDT,65,short,3.6,3.672,3.5,58.3
POWRUSDT,78,short,0.31,0.312,3.71,61.8
JTOUSDT,103,short,3.6,3.667,-13.87,40.79
RLCUSDT,129,short,3.02,3.083,2.59,43.24
JTOUSDT,151,short,3.57,3.638,2.75,45.83
RLCUSDT,162,short,2.99,3.049,2.91,48.58
YGGUSDT,164,short,0.89,0.905,3.09,51.49
RLCUSDT,171,short,2.98,3.045,3.27,54.58
SOLUSDT,184,short,151.9,154.958,-12.25,36.02
