
AEVOUSDT,15,long,2.85,2.804,21.24,118.0
BNXUSDT,20,long,0.53,0.519,-15.86,99.12
BNXUSDT,34,long,0.52,0.516,-13.32,83.26
MAVUSDT,83,long,0.72,0.705,-11.19,69.94
JTOUSDT,91,long,4.3,4.232,-9.4,58.75
AEVOUSDT,95,long,2.83,2.785,-7.9,49.35
BNXUSDT,98,long,0.52,0.511,-6.63,41.45
AEVOUSDT,105,long,2.8,2.75,8.8,48.91
AEVOUSDT,108,long,2.81,2.767,10.39,57.71
BNXUSDT,130,short,0.51,0.523,-7.76,48.48
AEVOUSDT,132,long,2.81,2.762,10.3,57.21
BELUSDT,135,long,0.94,0.927,12.15,67.51
BNXUSDT,141,short,0.53,0.536,-9.07,56.71
BELUSDT,145,short,0.94,0.952,-7.62,47.64
JTOUSDT,151,long,4.18,4.113,-6.4,40.02
JTOUSDT,157,long,4.14,4.067,-5.38,33.62
