
RLCUSDT,29,short,2.98,3.014,-14.76,82.0
POWRUSDT,41,long,0.31,0.308,7.08,88.56
JTOUSDT,48,short,3.55,3.596,-13.07,72.62
RLCUSDT,67,short,3.13,3.171,6.27,78.43
RLCUSDT,82,short,3.06,3.101,-11.58,64.31
JTOUSDT,105,short,3.62,3.666,5.56,69.45
POWRUSDT,110,short,0.3,0.307,6.0,75.01
RLCUSDT,130,short,3.01,3.053,-11.07,61.51
YGGUSDT,135,short,0.88,0.892,-9.08,50.44
POWRUSDT,152,short,0.31,0.315,4.36,54.48
RLCUSDT,163,short,2.98,3.018,4.71,58.84
JTOUSDT,171,short,3.54,3.586,5.08,63.55
RLCUSDT,191,short,3.01,3.049,5.49,68.63
POWRUSDT,203,short,0.32,0.323,5.93,74.12
YGGUSDT,237,short,0.88,0.887,-10.94,60.78
RLCUSDT,241,short,2.99,3.033,-8.97,49.84
JTOUSDT,254,short,3.66,3.705,-7.36,40.87
FRONTUSDT,256,short,1.25,1.261,-6.03,33.51
