
WLDUSDT,12,long,5.65,5.543,2.04,102.0
TRBUSDT,20,long,88.58,86.908,2.08,104.04
TRBUSDT,22,long,88.71,87.032,2.12,106.12
PHBUSDT,27,long,2.01,1.974,2.16,108.24
FRONTUSDT,32,short,1.15,1.169,2.21,110.4
TRBUSDT,49,long,91.85,90.115,2.25,112.61
LPTUSDT,51,long,15.4,15.113,-25.95,72.07
WLDUSDT,64,long,5.77,5.66,1.47,73.51
FRONTUSDT,67,long,1.16,1.138,1.5,74.98
PHBUSDT,69,long,2.11,2.072,1.53,76.48
TRBUSDT,74,long,91.94,90.2,1.56,78.01
FRONTUSDT,82,short,1.16,1.18,1.59,79.57
TRBUSDT,91,long,92.08,90.34,1.62,81.16
RLCUSDT,109,short,2.94,2.992,1.66,82.78
LPTUSDT,113,short,15.25,15.544,-19.07,52.98
TRBUSDT,118,short,90.69,92.418,1.08,54.04
TRBUSDT,125,long,90.97,89.246,1.1,55.12
WLDUSDC,135,short,6.28,6.394,-12.7,35.28
