
FRONTUSDT,13,short,1.14,1.161,-17.16,78.0
WLDUSDT,18,long,5.82,5.712,12.45,88.92
TRBUSDT,30,long,92.4,90.755,14.19,101.37
ENAUSDC,33,short,0.82,0.838,16.18,115.56
WLDUSDT,39,long,5.9,5.79,-19.83,90.14
RLCUSDT,44,long,2.87,2.815,14.39,102.76
PHBUSDT,57,short,2.1,2.142,-17.63,80.15
FRONTUSDT,63,short,1.15,1.172,-13.75,62.52
ENAUSDC,70,long,0.89,0.877,9.98,71.27
RLCUSDT,90,short,2.92,2.971,-12.23,55.59
TRBUSDT,99,short,90.14,91.78,8.87,63.37
WLDUSDC,116,short,6.24,6.35,-10.87,49.43
TRBUSDT,120,short,90.68,92.33,-8.48,38.56
