
FRONTUSDT,13,short,1.14,1.159,-14.76,82.0
WLDUSDT,18,long,5.81,5.724,11.02,91.84
TRBUSDT,30,long,92.31,90.938,12.34,102.86
ENAUSDT,33,short,0.83,0.838,13.82,115.2
WLDUSDT,39,long,5.89,5.802,-17.0,94.46
ENAUSDT,42,long,0.84,0.825,12.7,105.8
RLCUSDT,44,long,2.86,2.82,14.22,118.5
PHBUSDT,57,short,2.1,2.137,-17.49,97.17
FRONTUSDT,63,short,1.15,1.169,-14.34,79.68
FRONTUSDT,70,long,1.17,1.152,-11.76,65.34
TRBUSDT,72,long,92.54,91.166,-9.64,53.58
RLCUSDT,90,short,2.92,2.965,-7.91,43.94
TRBUSDT,99,short,90.23,91.598,5.91,49.21
PHBUSDT,109,long,2.22,2.182,-7.26,40.35
WLDUSDT,115,short,6.24,6.331,-5.96,33.09
