
NFPUSDT,20,long,0.51,0.501,-12.04,86.0
RLCUSDT,37,long,2.85,2.807,18.27,101.48
FRONTUSDT,45,short,1.14,1.157,-12.22,87.27
FRONTUSDT,47,long,1.17,1.151,-10.51,75.05
WLDUSDT,50,long,5.83,5.735,-9.04,64.54
NFPUSDT,52,long,0.51,0.503,13.71,76.16
NFPUSDT,63,long,0.52,0.511,16.18,89.87
WLDUSDT,71,long,5.91,5.813,-10.82,77.29
WLDUSDT,77,long,5.82,5.723,16.42,91.2
PHBUSDT,89,short,2.1,2.133,-10.98,78.43
FRONTUSDT,95,short,1.15,1.167,-9.44,67.45
NFPUSDT,100,long,0.5,0.495,-8.12,58.01
WLDUSDT,108,long,5.93,5.841,12.32,68.45
NFPUSDT,121,short,0.5,0.51,-8.24,58.87
WLDUSDT,124,long,6.14,6.043,-7.09,50.63
FRONTUSDT,126,long,1.16,1.142,-6.1,43.54
NFPUSDT,132,long,0.52,0.51,9.25,51.38
