
FRONTUSDT,24,long,1.16,1.141,8.64,108.0
RLCUSDT,37,long,2.84,2.796,9.33,116.64
NFPUSDT,40,long,0.51,0.499,10.08,125.97
NFPUSDT,63,long,0.52,0.509,10.88,136.05
WLDUSDT,71,long,5.88,5.79,-23.35,106.12
WLDUSDT,77,long,5.79,5.7,9.17,114.61
FRONTUSDT,85,short,1.15,1.166,-19.67,89.4
FRONTUSDT,95,short,1.15,1.172,-15.34,69.73
FRONTUSDT,102,long,1.17,1.15,6.02,75.31
NFPUSDT,109,long,0.5,0.492,6.51,81.33
WLDUSDT,124,long,6.11,6.018,-13.96,63.44
FRONTUSDT,126,long,1.16,1.138,-10.89,49.48
NFPUSDT,132,long,0.52,0.508,4.28,53.44
