
RLCUSDT,13,long,2.84,2.796,8.64,108.0
FRONTUSDT,21,short,1.14,1.161,-18.53,84.24
WLDUSDT,26,long,5.8,5.712,7.28,90.98
ENAUSDT,41,short,0.83,0.84,7.86,98.26
WLDUSDT,47,long,5.88,5.79,-16.86,76.64
ENAUSDT,50,long,0.84,0.823,6.62,82.77
WLDUSDT,53,long,5.79,5.7,7.15,89.39
PHBUSDT,58,long,2.12,2.087,-15.34,69.72
FRONTUSDT,61,short,1.15,1.166,-11.96,54.38
FRONTUSDT,71,short,1.15,1.172,-9.33,42.42
FRONTUSDT,78,long,1.17,1.15,3.66,45.81
WLDUSDT,84,long,5.9,5.817,3.96,49.47
WLDUSDT,100,long,6.11,6.018,-8.49,38.59
