
JUPUSDT,24,long,1.13,1.106,21.24,118.0
JUPUSDT,35,long,1.14,1.119,25.06,139.24
RLCUSDT,45,short,2.98,3.042,-22.28,111.39
POWRUSDT,50,short,0.3,0.311,-17.82,89.11
WIFUSDC,62,short,3.4,3.46,-14.26,71.29
RLCUSDT,64,long,3.21,3.154,-11.41,57.03
POWRUSDT,70,long,0.32,0.311,-9.12,45.62
RLCUSDT,89,long,3.11,3.056,9.69,53.83
JTOUSDT,107,short,3.56,3.632,11.43,63.52
JTOUSDT,121,short,3.58,3.644,-10.16,50.82
POWRUSDT,124,short,0.3,0.307,10.79,59.97
RLCUSDT,146,short,3.02,3.076,12.74,70.76
RLCUSDT,152,long,3.06,3.001,-11.32,56.61
JUPUSDT,156,long,1.14,1.124,-9.06,45.29
POWRUSDT,167,short,0.31,0.315,-7.25,36.23
