
WLDUSDT,23,long,5.72,5.633,4.16,104.0
PHBUSDT,41,long,2.04,2.002,-20.97,74.88
WLDUSDT,45,short,5.66,5.75,3.12,77.88
NFPUSDT,55,long,0.5,0.497,3.24,81.0
PHBUSDT,73,long,2.03,1.997,3.37,84.24
WLDUSDT,83,long,5.8,5.711,3.5,87.61
NFPUSDT,87,long,0.51,0.504,3.64,91.11
PHBUSDT,94,short,2.07,2.107,-18.37,65.6
NFPUSDT,99,short,0.5,0.513,2.73,68.22
FRONTUSDT,105,long,1.16,1.137,-13.75,49.12
FRONTUSDT,112,long,1.16,1.147,2.04,51.08
NFPUSDT,124,long,0.5,0.489,2.12,53.12
PHBUSDT,135,short,2.19,2.224,-10.71,38.25
