
FRONTUSDT,25,long,1.16,1.139,-16.0,80.0
POWRUSDT,45,short,0.31,0.313,-12.8,64.0
JTOUSDT,48,long,3.62,3.549,15.36,76.8
YGGUSDT,83,long,0.91,0.89,-12.29,61.44
YGGUSDT,109,long,0.9,0.883,14.75,73.73
POWRUSDT,118,short,0.3,0.307,17.7,88.48
YGGUSDT,135,long,0.9,0.881,21.24,106.18
POWRUSDT,153,long,0.32,0.311,-16.99,84.94
JTOUSDT,171,long,3.61,3.54,-13.59,67.95
POWRUSDT,185,long,0.32,0.313,16.31,81.54
FRONTUSDT,228,long,1.27,1.246,19.57,97.85
RLCUSDT,241,long,3.05,2.994,23.48,117.42
POWRUSDT,264,long,0.33,0.326,28.18,140.9
