
FRONTUSDT,25,long,1.16,1.142,-12.04,86.0
RLCUSDT,30,long,3.07,3.009,25.59,106.64
JTOUSDT,48,long,3.63,3.56,-12.84,91.71
YGGUSDT,82,long,0.91,0.889,27.29,113.72
YGGUSDT,93,long,0.91,0.896,-13.69,97.8
YGGUSDT,107,long,0.89,0.869,29.1,121.27
POWRUSDT,112,short,0.3,0.306,36.09,150.37
YGGUSDT,134,long,0.9,0.888,-18.1,129.32
JTOUSDT,139,long,3.63,3.56,-15.57,111.22
POWRUSDT,152,long,0.32,0.312,-13.39,95.65
YGGUSDT,164,long,0.91,0.889,-11.52,82.26
POWRUSDT,183,long,0.32,0.314,24.48,102.0
POWRUSDT,203,long,0.33,0.32,-12.28,87.72
FRONTUSDT,226,long,1.28,1.253,-10.56,75.44
FRONTUSDT,236,long,1.27,1.25,-9.08,64.88
JTOUSDT,253,long,3.72,3.655,19.31,80.45
JTOUSDT,269,long,3.82,3.743,-9.69,69.19
