,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.001807,0.00181,0.001768,0.001773,1051787391.0,1708790399999
1,1708790400000,0.001774,0.001802,0.001774,0.001794,664381072.0,1708804799999
2,1708804800000,0.001795,0.001797,0.001781,0.00179,365781923.0,1708819199999
3,1708819200000,0.001791,0.00181,0.001779,0.001793,628645986.0,1708833599999
4,1708833600000,0.001794,0.001809,0.001783,0.001795,545118223.0,1708847999999
5,1708848000000,0.001796,0.001889,0.00179,0.001881,2450765066.0,1708862399999
6,1708862400000,0.001882,0.0019,0.00184,0.001895,4160982352.0,1708876799999
7,1708876800000,0.001896,0.001907,0.001874,0.001888,2115496744.0,1708891199999
8,1708891200000,0.001887,0.001945,0.001881,0.001932,1619721358.0,1708905599999
9,1708905600000,0.001933,0.001933,0.001862,0.00188,1585428888.0,1708919999999
10,1708920000000,0.001881,0.001924,0.001872,0.001884,1872540273.0,1708934399999
11,1708934400000,0.001884,0.001903,0.001834,0.001851,2425334624.0,1708948799999
12,1708948800000,0.00185,0.001896,0.001838,0.001894,1532035568.0,1708963199999
13,1708963200000,0.001894,0.001919,0.001875,0.001914,1658266284.0,1708977599999
14,1708977600000,0.001913,0.001945,0.001903,0.001909,1130343645.0,1708991999999
15,1708992000000,0.00191,0.001963,0.001889,0.001922,1456295536.0,1709006399999
16,1709006400000,0.001923,0.002012,0.001922,0.002007,1951714631.0,1709020799999
17,1709020800000,0.002006,0.002051,0.001963,0.001997,2118393257.0,1709035199999
18,1709035200000,0.001997,0.002012,0.001949,0.001983,1957130411.0,1709049599999
19,1709049600000,0.001982,0.002061,0.001961,0.002041,2049644272.0,1709063999999
20,1709064000000,0.002041,0.00226,0.002036,0.002078,6483042408.0,1709078399999
21,1709078400000,0.002079,0.00211,0.002046,0.002078,2222794609.0,1709092799999
22,1709092800000,0.002077,0.002081,0.00202,0.002026,1818904603.0,1709107199999
23,1709107200000,0.002026,0.002076,0.002,0.00204,2402430494.0,1709121599999
24,1709121600000,0.002039,0.002082,0.002038,0.00207,1945601478.0,1709135999999
25,1709136000000,0.002071,0.002133,0.001755,0.001981,5847832427.0,1709150399999
26,1709150400000,0.001981,0.002063,0.00197,0.00206,1532909760.0,1709164799999
27,1709164800000,0.00206,0.002112,0.002037,0.002098,1403904195.0,1709179199999
28,1709179200000,0.002098,0.00219,0.002062,0.002167,2441243508.0,1709193599999
29,1709193600000,0.002167,0.002202,0.002129,0.002133,1966132614.0,1709207999999
30,1709208000000,0.002133,0.002199,0.002122,0.002191,1362091204.0,1709222399999
31,1709222400000,0.002191,0.002204,0.002122,0.002185,2527493755.0,1709236799999
32,1709236800000,0.002184,0.002192,0.002069,0.002154,1984793974.0,1709251199999
33,1709251200000,0.002155,0.0022,0.002149,0.002187,922854761.0,1709265599999
34,1709265600000,0.002187,0.002219,0.00215,0.002154,1144809765.0,1709279999999
35,1709280000000,0.002154,0.002209,0.002149,0.002195,930320268.0,1709294399999
36,1709294400000,0.002195,0.002234,0.002187,0.002202,1319929553.0,1709308799999
37,1709308800000,0.002202,0.0023,0.002187,0.002291,1319364261.0,1709323199999
38,1709323200000,0.002291,0.002331,0.002261,0.002313,1716998806.0,1709337599999
39,1709337600000,0.002313,0.002347,0.00229,0.002332,1036575074.0,1709351999999
40,1709352000000,0.002333,0.002438,0.002313,0.002421,1530682800.0,1709366399999
41,1709366400000,0.002421,0.002752,0.002409,0.002501,6638258807.0,1709380799999
42,1709380800000,0.002502,0.002547,0.002464,0.002505,2801599876.0,1709395199999
43,1709395200000,0.002505,0.00257,0.002491,0.002546,2270772290.0,1709409599999
44,1709409600000,0.002546,0.002613,0.002509,0.002567,2222709087.0,1709423999999
