
FRONTUSDT,13,short,1.14,1.16,-16.0,80.0
WLDUSDT,18,long,5.82,5.718,12.77,91.2
WLDUSDT,39,long,5.9,5.796,-14.59,72.96
WLDUSDT,45,long,5.8,5.705,11.64,83.17
WLDUSDT,76,long,5.92,5.823,13.27,94.81
PHBUSDT,95,long,2.25,2.211,-15.17,75.85
PHBUSDT,101,long,2.23,2.19,-12.14,60.68
PHBUSDT,109,long,2.22,2.18,-9.71,48.54
PHBUSDT,117,long,2.16,2.125,-7.77,38.83
